,drugbank_id,drugbank_tid,CID,mol_id,action
99,DB00202,BE0000045,5314,32324,agonist
100,DB00203,BE0000182,5212,3420185,inhibitor
101,DB00203,BE0003556,5212,189703,inhibitor
102,DB00203,BE0003557,5212,1311544,inhibitor
103,DB00204,BE0000090,71329,487738,inhibitor
104,DB00204,BE0000210,71329,5712621,inhibitor
105,DB00204,BE0001131,71329,567019,inhibitor
106,DB00206,BE0000118,5770,292335,inhibitor
107,DB00208,BE0000110,5472,12083902,antagonist
108,DB00209,BE0000092,5284632,34451,antagonist
109,DB00210,BE0000144,60164,306887,agonist
110,DB00210,BE0000206,60164,35883,agonist
111,DB00210,BE0000707,60164,1053069,agonist
112,DB00210,BE0000078,60164,30448,agonist
113,DB00210,BE0000663,60164,36157,agonist
114,DB00210,BE0000412,60164,35885,other
115,DB00210,BE0000262,60164,291988,inhibitor
116,DB00211,BE0000501,4195,433201,agonist
117,DB00211,BE0000715,4195,177807,agonist
118,DB00212,BE0000270,6324659,190994,inhibitor
119,DB00213,BE0000349,4679,561634,inhibitor
120,DB00214,BE0000502,41781,1373425,inhibitor
121,DB00215,BE0000749,2771,36433,inhibitor
122,DB00215,BE0000442,2771,510296,binder
123,DB00215,BE0000501,2771,433201,binder
124,DB00215,BE0000092,2771,34451,binder
125,DB00215,BE0000533,2771,338028,antagonist
126,DB00216,BE0000659,77993,177772,agonist
127,DB00216,BE0000797,77993,219679,agonist
128,DB00216,BE0000460,77993,307420,agonist
129,DB00216,BE0000291,77993,189928,agonist
130,DB00216,BE0000476,77993,177774,agonist
131,DB00216,BE0000393,77993,475198,agonist
132,DB00216,BE0000650,77993,1857143,agonist
140,DB00218,BE0000429,152946,1574370,inhibitor
141,DB00218,BE0000366,152946,1574722,inhibitor
142,DB00218,BE0000742,152946,292830,inhibitor
143,DB00219,BE0000092,5749,34451,antagonist
144,DB00220,BE0000664,64143,4377614,inhibitor
145,DB00221,BE0000172,3762,178200,agonist
146,DB00221,BE0000694,3762,29371,agonist
147,DB00222,BE0000708,3476,1088445,inhibitor
148,DB00222,BE0000644,3476,529313,inhibitor
149,DB00222,BE0000207,3476,1374919,inducer
151,DB00226,BE0000486,38521,189258,agonist
152,DB00227,BE0000574,53232,306865,inhibitor
153,DB00227,BE0000516,53232,31422,other
154,DB00227,BE0002366,53232,1667394,other
155,DB00229,BE0000576,43708,18145626,inducer
156,DB00231,BE0000795,5391,31631,potentiator
157,DB00231,BE0000381,5391,386422,potentiator
158,DB00231,BE0000523,5391,386424,potentiator
159,DB00231,BE0000478,5391,905393,potentiator
160,DB00231,BE0000471,5391,182916,potentiator
161,DB00231,BE0000764,5391,1470364,potentiator
162,DB00231,BE0002344,5391,31635,potentiator
163,DB00231,BE0002346,5391,455946,potentiator
164,DB00231,BE0002345,5391,182925,potentiator
165,DB00231,BE0003593,5391,193783776,potentiator
166,DB00231,BE0003592,5391,31637,potentiator
167,DB00231,BE0003594,5391,1754749,potentiator
168,DB00231,BE0003599,5391,2388693,potentiator
169,DB00231,BE0003595,5391,1857126,potentiator
170,DB00231,BE0003596,5391,2197001,potentiator
171,DB00231,BE0000129,5391,182911,potentiator
172,DB00231,BE0003598,5391,456428,potentiator
173,DB00231,BE0003597,5391,7861736,potentiator
174,DB00231,BE0000736,5391,306883,other
175,DB00231,BE0004797,5391,31631,positive modulator
176,DB00231,BE0004797,5391,386422,positive modulator
177,DB00231,BE0004797,5391,386424,positive modulator
178,DB00231,BE0004797,5391,905393,positive modulator
179,DB00231,BE0004797,5391,182916,positive modulator
180,DB00231,BE0004797,5391,1470364,positive modulator
181,DB00231,BE0004797,5391,31635,positive modulator
182,DB00231,BE0004797,5391,455946,positive modulator
183,DB00231,BE0004797,5391,182925,positive modulator
184,DB00231,BE0004797,5391,2388693,positive modulator
185,DB00231,BE0004797,5391,1857126,positive modulator
186,DB00231,BE0004797,5391,193783776,positive modulator
187,DB00231,BE0004797,5391,31637,positive modulator
188,DB00231,BE0004797,5391,1754749,positive modulator
189,DB00231,BE0004797,5391,2197001,positive modulator
190,DB00231,BE0004797,5391,7861736,positive modulator
191,DB00232,BE0000502,4121,1373425,inhibitor
192,DB00232,BE0000267,4121,29600,inhibitor
193,DB00232,BE0000322,4121,179780,inhibitor
194,DB00232,BE0000535,4121,179791,inhibitor
195,DB00233,BE0000262,4649,291988,inhibitor
196,DB00233,BE0000248,4649,187193,inhibitor
197,DB00233,BE0003768,4649,7108923,unknown
199,DB00235,BE0000436,4197,38201493,inhibitor
200,DB00238,BE0004136,4463,896047,inhibitor
201,DB00239,BE0000233,5353853,578119,inhibitor
202,DB00239,BE0000956,5353853,3511138,agonist
204,DB00242,BE0000325,20279,36065,inhibitor
205,DB00242,BE0003613,20279,7229086,inhibitor
206,DB00242,BE0000546,20279,35568,inhibitor
207,DB00242,BE0003614,20279,3192938,inhibitor
208,DB00242,BE0003615,20279,2697123,inhibitor
209,DB00242,BE0003617,20279,8100806,inhibitor
210,DB00242,BE0003616,20279,21411517,inhibitor
211,DB00242,BE0000250,20279,35565,inducer
212,DB00243,BE0000197,56959,184039,inhibitor
213,DB00243,BE0001143,56959,758110,inhibitor
214,DB00244,BE0000262,4075,291988,inhibitor
215,DB00244,BE0000017,4075,387018,inhibitor
216,DB00244,BE0000248,4075,187193,inhibitor
217,DB00244,BE0000215,4075,1711117,agonist
218,DB00244,BE0001154,4075,2599558,inhibitor
219,DB00245,BE0000092,1201549,34451,antagonist
220,DB00245,BE0000647,1201549,553260,inhibitor
221,DB00245,BE0000442,1201549,510296,antagonist
222,DB00246,BE0000756,60854,181432,antagonist
223,DB00246,BE0000451,60854,36431,antagonist
224,DB00246,BE0000020,60854,30397,antagonist
225,DB00246,BE0000145,60854,32049,antagonist
226,DB00246,BE0000581,60854,927342,antagonist
227,DB00246,BE0000389,60854,291946,antagonist
228,DB00246,BE0000291,60854,189928,agonist
229,DB00246,BE0000797,60854,219679,antagonist
230,DB00246,BE0000659,60854,177772,antagonist
231,DB00246,BE0000476,60854,177774,antagonist
232,DB00246,BE0000533,60854,338028,antagonist
233,DB00246,BE0000311,60854,681914,antagonist
234,DB00246,BE0000945,60854,1162924,antagonist
235,DB00246,BE0000650,60854,1857143,antagonist
236,DB00246,BE0000442,60854,510296,antagonist
237,DB00246,BE0000501,60854,433201,antagonist
238,DB00246,BE0000289,60854,178196,antagonist
239,DB00246,BE0000572,60854,178198,antagonist
240,DB00246,BE0000342,60854,178194,antagonist
241,DB00246,BE0000092,60854,34451,antagonist
242,DB00246,BE0000560,60854,177990,antagonist
243,DB00246,BE0000045,60854,32324,antagonist
244,DB00246,BE0000405,60854,61970253,antagonist
245,DB00246,BE0000247,60854,177988,antagonist
254,DB00248,BE0000756,54746,181432,agonist
255,DB00248,BE0000393,54746,475198,agonist
256,DB00248,BE0000581,54746,927342,agonist
257,DB00248,BE0000451,54746,36431,agonist
258,DB00248,BE0000572,54746,178198,antagonist
259,DB00248,BE0000659,54746,177772,agonist
260,DB00248,BE0000389,54746,291946,agonist
261,DB00248,BE0000289,54746,178196,antagonist
262,DB00248,BE0000291,54746,189928,agonist
263,DB00248,BE0000342,54746,178194,antagonist
264,DB00248,BE0000145,54746,32049,agonist
265,DB00248,BE0000020,54746,30397,agonist
266,DB00248,BE0000797,54746,219679,agonist
267,DB00248,BE0000533,54746,338028,agonist
268,DB00248,BE0000650,54746,1857143,antagonist
269,DB00248,BE0000501,54746,433201,binder
270,DB00248,BE0000715,54746,177807,binder
271,DB00248,BE0000172,54746,178200,binder
272,DB00248,BE0000694,54746,29371,binder
273,DB00248,BE0004889,54746,30397,agonist
274,DB00248,BE0004889,54746,32049,agonist
275,DB00249,BE0000458,5905,8100965,unknown
276,DB00250,BE0002087,2955,699152,inhibitor
277,DB00250,BE0002086,2955,5832717,inhibitor
278,DB00251,BE0000233,441383,578119,antagonist
279,DB00253,BE0000794,247839,31680,agonist
280,DB00255,BE0000123,3054,31234,agonist
281,DB00255,BE0002088,3054,4092075,agonist
282,DB00255,BE0000792,3054,2911152,agonist
283,DB00255,BE0000132,3054,178628,antagonist
286,DB00259,BE0000803,5333,41273,inhibitor
287,DB00260,BE0000733,6234,145722,inhibitor
288,DB00260,BE0000806,6234,6708455,inhibitor
289,DB00261,BE0000436,2182,38201493,inhibitor
290,DB00262,BE0000648,2578,31825,inhibitor
291,DB00264,BE0000172,4171,178200,antagonist
292,DB00264,BE0000694,4171,29371,antagonist
293,DB00266,BE0000713,54676038,40217983,inhibitor
294,DB00266,BE0001184,54676038,189246,inhibitor
295,DB00266,BE0001185,54676038,292415,inhibitor
297,DB00268,BE0000581,5095,927342,agonist
298,DB00268,BE0000756,5095,181432,agonist
299,DB00268,BE0000389,5095,291946,agonist
300,DB00268,BE0000291,5095,189928,agonist
301,DB00268,BE0000659,5095,177772,agonist
302,DB00268,BE0000393,5095,475198,agonist
303,DB00268,BE0000020,5095,30397,agonist
304,DB00268,BE0000145,5095,32049,agonist
305,DB00268,BE0000797,5095,219679,agonist
306,DB00268,BE0000451,5095,36431,agonist
307,DB00268,BE0000533,5095,338028,agonist
308,DB00268,BE0000289,5095,178196,agonist
309,DB00268,BE0000572,5095,178198,agonist
310,DB00268,BE0000342,5095,178194,agonist
311,DB00270,BE0000691,3784,179762,inhibitor
312,DB00270,BE0002354,3784,300417,inhibitor
313,DB00270,BE0000864,3784,14670397,inhibitor
314,DB00270,BE0002359,3784,179764,inhibitor
315,DB00270,BE0002355,3784,1698403,inhibitor
316,DB00272,BE0000112,7741,184088,agonist
317,DB00273,BE0000795,5284627,31631,agonist
318,DB00273,BE0000141,5284627,12642270,inhibitor
319,DB00273,BE0000346,5284627,455448,antagonist
320,DB00273,BE0000322,5284627,179780,inhibitor
321,DB00273,BE0000535,5284627,179791,inhibitor
322,DB00273,BE0004797,5284627,31631,positive modulator
323,DB00273,BE0004797,5284627,386422,positive modulator
324,DB00273,BE0004797,5284627,386424,positive modulator
325,DB00273,BE0004797,5284627,905393,positive modulator
326,DB00273,BE0004797,5284627,182916,positive modulator
327,DB00273,BE0004797,5284627,1470364,positive modulator
328,DB00273,BE0004797,5284627,31635,positive modulator
329,DB00273,BE0004797,5284627,455946,positive modulator
330,DB00273,BE0004797,5284627,182925,positive modulator
331,DB00273,BE0004797,5284627,2388693,positive modulator
332,DB00273,BE0004797,5284627,1857126,positive modulator
333,DB00273,BE0004797,5284627,193783776,positive modulator
334,DB00273,BE0004797,5284627,31637,positive modulator
335,DB00273,BE0004797,5284627,1754749,positive modulator
336,DB00273,BE0004797,5284627,2197001,positive modulator
337,DB00273,BE0004797,5284627,7861736,positive modulator
338,DB00273,BE0000267,5284627,29600,inhibitor
339,DB00273,BE0003625,5284627,189053812,inhibitor
340,DB00274,BE0000588,42008,581194,inhibitor
341,DB00274,BE0000488,42008,42468,inhibitor
342,DB00274,BE0003685,42008,41218,inhibitor
343,DB00275,BE0000062,158781,179122,antagonist
344,DB00276,BE0000742,2179,292830,inhibitor
345,DB00276,BE0000090,2179,487738,inhibitor
346,DB00277,BE0000013,2153,256155,antagonist
347,DB00277,BE0000924,2153,177892,antagonist
348,DB00277,BE0000241,2153,178150,antagonist
349,DB00277,BE0000487,2153,347122,inhibitor
350,DB00277,BE0000182,2153,3420185,inhibitor
351,DB00277,BE0001133,2153,347120,inhibitor
352,DB00277,BE0000436,2153,38201493,inhibitor
353,DB00277,BE0002366,2153,1667394,activator
354,DB00278,BE0000048,152951,339641,inhibitor
355,DB00280,BE0000197,3114,184039,inhibitor
356,DB00280,BE0000092,3114,34451,antagonist
357,DB00280,BE0000560,3114,177990,antagonist
358,DB00280,BE0000045,3114,32324,antagonist
359,DB00280,BE0003603,3114,4530478,inhibitor
360,DB00280,BE0003604,3114,2935434,inhibitor
361,DB00280,BE0000090,3114,487738,inhibitor
362,DB00282,BE0000776,4674,182399,inhibitor
363,DB00283,BE0000442,26987,510296,antagonist
367,DB00285,BE0000749,5656,36433,inhibitor
368,DB00285,BE0000486,5656,189258,inhibitor
369,DB00285,BE0000647,5656,553260,inhibitor
370,DB00287,BE0000610,5282226,456564,agonist
371,DB00288,BE0000794,443958,31680,agonist
372,DB00288,BE0000422,443958,12654863,agonist
373,DB00289,BE0000647,54841,553260,binder
374,DB00289,BE0004956,54841,219920,blocker
375,DB00289,BE0004956,54841,558749,blocker
376,DB00289,BE0004956,54841,1899202,blocker
377,DB00289,BE0004956,54841,1196449,blocker
378,DB00289,BE0004956,54841,2444026,blocker
379,DB00289,BE0004956,54841,20372905,blocker
380,DB00289,BE0004956,54841,3025446,blocker
383,DB00292,BE0000795,667484,31631,agonist
384,DB00292,BE0000572,667484,178198,agonist
385,DB00292,BE0004797,667484,31631,positive modulator
386,DB00292,BE0004797,667484,386422,positive modulator
387,DB00292,BE0004797,667484,386424,positive modulator
388,DB00292,BE0004797,667484,905393,positive modulator
389,DB00292,BE0004797,667484,182916,positive modulator
390,DB00292,BE0004797,667484,1470364,positive modulator
391,DB00292,BE0004797,667484,31635,positive modulator
392,DB00292,BE0004797,667484,455946,positive modulator
393,DB00292,BE0004797,667484,182925,positive modulator
394,DB00292,BE0004797,667484,2388693,positive modulator
395,DB00292,BE0004797,667484,1857126,positive modulator
396,DB00292,BE0004797,667484,193783776,positive modulator
397,DB00292,BE0004797,667484,31637,positive modulator
398,DB00292,BE0004797,667484,1754749,positive modulator
399,DB00292,BE0004797,667484,2197001,positive modulator
400,DB00292,BE0004797,667484,7861736,positive modulator
401,DB00293,BE0000324,104758,37479,inhibitor
402,DB00293,BE0000700,104758,292029,antagonist
403,DB00294,BE0000557,6917715,35652,agonist
404,DB00294,BE0000123,6917715,31234,agonist
405,DB00295,BE0000770,5288826,452073,agonist
406,DB00295,BE0000632,5288826,532060,agonist
407,DB00295,BE0000420,5288826,27545517,agonist
408,DB00296,BE0000177,175805,4838145,inhibitor
409,DB00297,BE0000177,2474,4838145,inhibitor
410,DB00297,BE0000064,2474,410209,other
411,DB00298,BE0000501,3033538,433201,antagonist
412,DB00298,BE0000715,3033538,177807,antagonist
413,DB00299,BE0000308,4725,59530,inhibitor
414,DB00299,BE0000514,4725,330210,inducer
415,DB00300,BE0004136,5481350,896047,inhibitor
416,DB00301,BE0000576,21319,18145626,inhibitor
417,DB00302,BE0000211,5526,387026,inhibitor
425,DB00304,BE0000557,40973,35652,agonist
426,DB00304,BE0000123,40973,31234,agonist
427,DB00307,BE0000412,82146,35885,agonist
428,DB00307,BE0000078,82146,30448,agonist
429,DB00307,BE0000707,82146,1053069,agonist
430,DB00308,BE0000303,60753,179806,activator
431,DB00308,BE0000090,60753,487738,inhibitor
432,DB00308,BE0000691,60753,179762,activator
433,DB00308,BE0000679,60753,306473,activator
434,DB00308,BE0000154,60753,1086491,inhibitor
435,DB00308,BE0000680,60753,4559312,inhibitor
436,DB00308,BE0000462,60753,11878259,inhibitor
437,DB00308,BE0000699,60753,4104136,inhibitor
438,DB00308,BE0000708,60753,1088445,inhibitor
439,DB00309,BE0000026,40839,11230445,inhibitor
440,DB00310,BE0000502,2732,1373425,inhibitor
441,DB00313,BE0000881,3121,15590680,inhibitor
442,DB00313,BE0000253,3121,602705,inhibitor
443,DB00313,BE0000573,3121,531391,inhibitor
444,DB00313,BE0000162,3121,531241,inhibitor
445,DB00313,BE0000152,3121,3766467,inhibitor
446,DB00313,BE0004901,3121,12642270,inhibitor
447,DB00313,BE0004901,3121,4838145,inhibitor
448,DB00313,BE0004901,3121,6572950,inhibitor
449,DB00313,BE0004901,3121,457879,inhibitor
450,DB00313,BE0004901,3121,7414320,inhibitor
451,DB00313,BE0004901,3121,338213,inhibitor
452,DB00313,BE0004901,3121,184039,inhibitor
453,DB00313,BE0004901,3121,4321647,inhibitor
454,DB00313,BE0004901,3121,758110,inhibitor
455,DB00313,BE0004901,3121,307415,inhibitor
456,DB00313,BE0004901,3121,3309111,inhibitor
457,DB00313,BE0004901,3121,7160975,inhibitor
458,DB00313,BE0004901,3121,27465047,inhibitor
459,DB00313,BE0002366,3121,1667394,inhibitor
460,DB00315,BE0000797,60857,219679,agonist
461,DB00315,BE0000659,60857,177772,agonist
462,DB00315,BE0000460,60857,307420,agonist
463,DB00315,BE0000291,60857,189928,agonist
464,DB00316,BE0000262,1983,291988,inhibitor
465,DB00316,BE0000017,1983,387018,inhibitor
466,DB00316,BE0002194,1983,2149156,inhibitor
467,DB00317,BE0000767,123631,757924,antagonist
468,DB00319,BE0003624,43672,984233,inhibitor
469,DB00319,BE0004335,43672,15457529,inhibitor
470,DB00320,BE0000659,10531,177772,agonist
471,DB00320,BE0000797,10531,219679,agonist
472,DB00320,BE0000289,10531,178196,agonist
473,DB00320,BE0000393,10531,475198,agonist
474,DB00321,BE0000486,2160,189258,inhibitor
475,DB00321,BE0000749,2160,36433,inhibitor
476,DB00321,BE0000451,2160,36431,antagonist
477,DB00321,BE0000291,2160,189928,inhibitor
478,DB00321,BE0000420,2160,27545517,agonist
479,DB00321,BE0000632,2160,532060,agonist
480,DB00321,BE0001039,2160,339918,agonist
481,DB00321,BE0003605,2160,530791,agonist
482,DB00321,BE0000501,2160,433201,antagonist
483,DB00321,BE0000715,2160,177807,antagonist
484,DB00321,BE0000289,2160,178196,antagonist
485,DB00321,BE0000442,2160,510296,antagonist
486,DB00321,BE0000092,2160,34451,antagonist
487,DB00321,BE0000560,2160,177990,antagonist
488,DB00321,BE0000045,2160,32324,antagonist
489,DB00321,BE0000405,2160,61970253,antagonist
490,DB00321,BE0000247,2160,177988,antagonist
491,DB00321,BE0000897,2160,1841342,inhibitor
492,DB00321,BE0000781,2160,186663,inhibitor
493,DB00321,BE0003603,2160,4530478,inhibitor
494,DB00321,BE0003604,2160,2935434,inhibitor
495,DB00321,BE0000112,2160,184088,blocker
496,DB00321,BE0000146,2160,10241847,binder
497,DB00321,BE0000156,2160,1783387,agonist
498,DB00321,BE0000533,2160,338028,binder
499,DB00321,BE0000650,2160,1857143,antagonist
500,DB00321,BE0000659,2160,177772,binder
501,DB00321,BE0000770,2160,452073,binder
502,DB00321,BE0000797,2160,219679,binder
503,DB00321,BE0000945,2160,1162924,antagonist
504,DB00321,BE0004872,2160,178200,binder
505,DB00321,BE0004872,2160,29371,binder
506,DB00321,BE0004872,2160,178896,binder
507,DB00324,BE0000794,9878,31680,agonist
508,DB00325,BE0000556,11963622,28230,agonist
509,DB00328,BE0000017,3715,387018,inhibitor
510,DB00328,BE0000262,3715,291988,inhibitor
511,DB00328,BE0001640,3715,190889,inhibitor
512,DB00328,BE0003560,3715,37912002,inhibitor
513,DB00328,BE0000215,3715,1711117,activator
514,DB00328,BE0000962,3715,219664,inhibitor
515,DB00328,BE0003561,3715,4204216,other
516,DB00328,BE0000071,3715,307341,agonist
517,DB00328,BE0000592,3715,4261711,inhibitor
518,DB00331,BE0000254,4091,2916800,inducer
519,DB00332,BE0000092,657308,34451,antagonist
520,DB00332,BE0000560,657308,177990,antagonist
521,DB00332,BE0000045,657308,32324,antagonist
522,DB00333,BE0000770,4095,452073,agonist
523,DB00333,BE0000641,4095,20372905,antagonist
524,DB00333,BE0000411,4095,12053839,antagonist
525,DB00333,BE0000420,4095,27545517,agonist
526,DB00333,BE0000311,4095,681914,antagonist
527,DB00334,BE0000451,4585,36431,antagonist
528,DB00334,BE0000756,4585,181432,antagonist
529,DB00334,BE0000756,4585,181432,agonist
530,DB00334,BE0000020,4585,30397,antagonist
531,DB00334,BE0000145,4585,32049,antagonist
532,DB00334,BE0000581,4585,927342,antagonist
533,DB00334,BE0000389,4585,291946,antagonist
534,DB00334,BE0000291,4585,189928,antagonist
535,DB00334,BE0000797,4585,219679,antagonist
536,DB00334,BE0000659,4585,177772,antagonist
537,DB00334,BE0000476,4585,177774,antagonist
538,DB00334,BE0000533,4585,338028,antagonist
539,DB00334,BE0000311,4585,681914,antagonist
540,DB00334,BE0000945,4585,1162924,antagonist
541,DB00334,BE0000650,4585,1857143,antagonist
542,DB00334,BE0000442,4585,510296,antagonist
543,DB00334,BE0000501,4585,433201,antagonist
544,DB00334,BE0000289,4585,178196,antagonist
545,DB00334,BE0000572,4585,178198,antagonist
546,DB00334,BE0000342,4585,178194,antagonist
547,DB00334,BE0000092,4585,34451,antagonist
548,DB00334,BE0000560,4585,177990,antagonist
549,DB00334,BE0000045,4585,32324,antagonist
550,DB00334,BE0000405,4585,61970253,antagonist
551,DB00334,BE0000247,4585,177988,antagonist
552,DB00334,BE0000393,4585,475198,antagonist
553,DB00334,BE0004889,4585,30397,antagonist
554,DB00334,BE0004889,4585,32049,antagonist
555,DB00334,BE0000112,4585,184088,antagonist
556,DB00334,BE0000146,4585,10241847,antagonist
557,DB00334,BE0004797,4585,31631,inhibitor
558,DB00334,BE0004797,4585,386422,inhibitor
559,DB00334,BE0004797,4585,386424,inhibitor
560,DB00334,BE0004797,4585,905393,inhibitor
561,DB00334,BE0004797,4585,182916,inhibitor
562,DB00334,BE0004797,4585,1470364,inhibitor
563,DB00334,BE0004797,4585,31635,inhibitor
564,DB00334,BE0004797,4585,455946,inhibitor
565,DB00334,BE0004797,4585,182925,inhibitor
566,DB00334,BE0004797,4585,2388693,inhibitor
567,DB00334,BE0004797,4585,1857126,inhibitor
568,DB00334,BE0004797,4585,193783776,inhibitor
569,DB00334,BE0004797,4585,31637,inhibitor
570,DB00334,BE0004797,4585,1754749,inhibitor
571,DB00334,BE0004797,4585,2197001,inhibitor
572,DB00334,BE0004797,4585,7861736,inhibitor
573,DB00334,BE0004872,4585,178200,inhibitor
574,DB00334,BE0004872,4585,29371,inhibitor
575,DB00334,BE0004872,4585,178896,inhibitor
576,DB00335,BE0000172,2249,178200,antagonist
577,DB00335,BE0000694,2249,29371,inhibitor
578,DB00337,BE0000695,6509979,182628,potentiator
579,DB00340,BE0000092,4167,34451,antagonist
580,DB00340,BE0000405,4167,61970253,antagonist
581,DB00340,BE0000247,4167,177988,antagonist
582,DB00340,BE0000560,4167,177990,antagonist
583,DB00340,BE0000045,4167,32324,antagonist
584,DB00341,BE0000442,2678,510296,antagonist
585,DB00343,BE0000679,39186,306473,inhibitor
586,DB00344,BE0000486,4976,189258,inhibitor
587,DB00344,BE0000749,4976,36433,inhibitor
588,DB00346,BE0000501,2092,433201,antagonist
589,DB00346,BE0000715,2092,177807,antagonist
590,DB00346,BE0000090,2092,487738,inhibitor
591,DB00347,BE0000483,5576,6625659,inhibitor
592,DB00348,BE0000455,115355,3860238,inhibitor
593,DB00350,BE0000644,4201,529313,inducer
594,DB00350,BE0000017,4201,387018,inducer
595,DB00353,BE0000020,8226,30397,antagonist
600,DB00357,BE0002090,2145,179002,inhibitor
601,DB00357,BE0003537,2145,181376,inhibitor
602,DB00358,BE0000130,4046,386764,antagonist
603,DB00358,BE0000924,4046,177892,antagonist
604,DB00360,BE0000753,44257,189937,other
605,DB00360,BE0000263,44257,189212,other
606,DB00360,BE0000614,44257,37127,other
607,DB00360,BE0000121,44257,37955,other
610,DB00363,BE0000756,2818,181432,antagonist
611,DB00363,BE0000451,2818,36431,antagonist
612,DB00363,BE0000020,2818,30397,antagonist
613,DB00363,BE0000581,2818,927342,antagonist
614,DB00363,BE0000389,2818,291946,antagonist
615,DB00363,BE0000291,2818,189928,antagonist
616,DB00363,BE0000797,2818,219679,antagonist
617,DB00363,BE0000659,2818,177772,antagonist
618,DB00363,BE0000476,2818,177774,antagonist
